"b_OTU_1045" "b_OTU_109" "b_OTU_1093" "b_OTU_11" "b_OTU_112" "b_OTU_1191" "b_OTU_1200" "b_OTU_123" "b_OTU_13" "b_OTU_1431" "b_OTU_153" "b_OTU_17" "b_OTU_171" "b_OTU_18" "b_OTU_182" "b_OTU_20" "b_OTU_21" "b_OTU_22" "b_OTU_23" "b_OTU_235" "b_OTU_24" "b_OTU_25" "b_OTU_26" "b_OTU_27" "b_OTU_29" "b_OTU_304" "b_OTU_31" "b_OTU_329" "b_OTU_33" "b_OTU_34" "b_OTU_35" "b_OTU_36" "b_OTU_364" "b_OTU_37" "b_OTU_39" "b_OTU_41" "b_OTU_42" "b_OTU_44" "b_OTU_443" "b_OTU_444" "b_OTU_447" "b_OTU_46" "b_OTU_47" "b_OTU_48" "b_OTU_49" "b_OTU_51" "b_OTU_548" "b_OTU_55" "b_OTU_56" "b_OTU_57" "b_OTU_58" "b_OTU_59" "b_OTU_60" "b_OTU_625" "b_OTU_63" "b_OTU_662" "b_OTU_69" "b_OTU_72" "b_OTU_73" "b_OTU_74" "b_OTU_76" "b_OTU_8" "b_OTU_81" "b_OTU_87" "b_OTU_90" "b_OTU_98" "f_OTU_1" "f_OTU_2" "f_OTU_3" "f_OTU_4" "f_OTU_5" "f_OTU_6" "f_OTU_7" "f_OTU_8" "f_OTU_9" "f_OTU_10" "f_OTU_12" "f_OTU_13" "f_OTU_15" "f_OTU_17" "f_OTU_19" "f_OTU_20" "f_OTU_23" "f_OTU_24" "f_OTU_25" "f_OTU_26" "f_OTU_27" "f_OTU_28" "f_OTU_29" "f_OTU_30" "f_OTU_32" "f_OTU_33" "f_OTU_39" "f_OTU_40" "f_OTU_43" "f_OTU_46" "f_OTU_57" "f_OTU_63" "f_OTU_65" "f_OTU_68" "f_OTU_79" "f_OTU_317" "f_OTU_576" "f_OTU_579" "f_OTU_662" "f_OTU_672" "f_OTU_1011" "f_OTU_1085" "f_OTU_1090" "f_OTU_1141" "f_OTU_1278" "f_OTU_1567" "f_OTU_1656" "E_alphitoides"
"A2.02" 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 1811
"A2.03" 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 4071 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799
"A2.04" 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1314 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635 1635
"A2.05" 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 489 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266 2266
"A2.06" 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 303 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 2023
"A2.07" 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 902 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635 2635
"A2.08" 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2276 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248
"A2.09" 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538 2538
"A2.10" 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 8394 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539 2539
"A2.11" 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 996 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967 2967
"A2.12" 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008 3008
"A2.13" 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530 2530
"A2.14" 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199
"A2.15" 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784
"A2.16" 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118 3118
"A2.17" 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557 2557
"A2.18" 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349 2349
"A2.19" 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 1526 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017 2017
"A2.20" 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 4781 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 2176
"A2.21" 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562 2562
"A2.22" 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 777 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179
"A2.23" 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 948 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623 2623
"A2.24" 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 936 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302 2302
"A2.25" 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2768 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 2091
"A2.26" 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909 1909
"A2.28" 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052 2052
"A2.29" 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1049 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981 1981
"A2.30" 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 6957 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466
"A2.31" 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 1662 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742 2742
"A2.32" 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 2545
"A2.33" 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 1038 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687 2687
"A2.34" 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 895 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187
"A2.35" 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146 2146
"A2.36" 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247 2247
"A2.37" 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 141 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206 2206
"A2.38" 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649 2649
"A2.39" 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 785 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366 2366
"A2.40" 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104 2104
"A3.01" 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 784 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037 2037
"A3.02" 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 367 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 1911
"A3.03" 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 1224 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304 2304
