"b_OTU_1045" "b_OTU_109" "b_OTU_1093" "b_OTU_11" "b_OTU_112" "b_OTU_1191" "b_OTU_1200" "b_OTU_123" "b_OTU_13" "b_OTU_1431" "b_OTU_153" "b_OTU_17" "b_OTU_171" "b_OTU_18" "b_OTU_182" "b_OTU_20" "b_OTU_21" "b_OTU_22" "b_OTU_23" "b_OTU_235" "b_OTU_24" "b_OTU_25" "b_OTU_26" "b_OTU_27" "b_OTU_29" "b_OTU_304" "b_OTU_31" "b_OTU_329" "b_OTU_33" "b_OTU_34" "b_OTU_35" "b_OTU_36" "b_OTU_364" "b_OTU_37" "b_OTU_39" "b_OTU_41" "b_OTU_42" "b_OTU_44" "b_OTU_443" "b_OTU_444" "b_OTU_447" "b_OTU_46" "b_OTU_47" "b_OTU_48" "b_OTU_49" "b_OTU_51" "b_OTU_548" "b_OTU_55" "b_OTU_56" "b_OTU_57" "b_OTU_58" "b_OTU_59" "b_OTU_60" "b_OTU_625" "b_OTU_63" "b_OTU_662" "b_OTU_69" "b_OTU_72" "b_OTU_73" "b_OTU_74" "b_OTU_76" "b_OTU_8" "b_OTU_81" "b_OTU_87" "b_OTU_90" "b_OTU_98" "f_OTU_1" "f_OTU_2" "f_OTU_3" "f_OTU_4" "f_OTU_5" "f_OTU_6" "f_OTU_7" "f_OTU_8" "f_OTU_9" "f_OTU_10" "f_OTU_12" "f_OTU_13" "f_OTU_15" "f_OTU_17" "f_OTU_19" "f_OTU_20" "f_OTU_23" "f_OTU_24" "f_OTU_25" "f_OTU_26" "f_OTU_27" "f_OTU_28" "f_OTU_29" "f_OTU_30" "f_OTU_32" "f_OTU_33" "f_OTU_39" "f_OTU_40" "f_OTU_43" "f_OTU_46" "f_OTU_57" "f_OTU_63" "f_OTU_65" "f_OTU_68" "f_OTU_79" "f_OTU_317" "f_OTU_576" "f_OTU_579" "f_OTU_662" "f_OTU_672" "f_OTU_1011" "f_OTU_1085" "f_OTU_1090" "f_OTU_1141" "f_OTU_1278" "f_OTU_1567" "f_OTU_1656" "E_alphitoides"
"A2.13" 0 0 0 8 0 0 0 0 48 0 0 2 1 1 0 4 0 1 0 0 2 0 1 7 3 0 1 0 0 0 0 10 1 0 0 0 1 1 0 1 0 2 6 0 0 0 0 0 3 0 0 0 0 5 0 1 1 0 0 1 0 228 1 0 0 1 337 2 9 0 13 56 10 58 44 67 6 115 1 34 209 1 4 19 0 6 49 50 0 0 4 3 2 3 8 0 0 0 4 0 0 3 57 3 0 87 0 58 0 5 1046 1 0 0
"A2.14" 0 1 0 4 0 0 0 4 147 0 0 2 1 0 0 4 0 5 3 0 5 0 0 6 2 0 4 1 0 0 0 2 6 1 0 3 5 2 0 1 0 2 6 0 1 0 0 0 0 3 0 0 1 3 1 0 0 0 0 4 0 222 0 0 0 1 314 1 87 0 21 27 4 52 35 93 2 54 0 29 777 2 14 77 0 13 15 52 0 0 1 8 0 3 7 0 0 0 2 0 0 7 26 5 0 6 0 3 0 6 187 61 0 2
"A2.15" 1 0 0 4 0 1 0 1 2 0 0 1 0 0 0 4 1 1 0 0 3 0 0 12 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 1 1 0 0 2 3 0 1 1 6 7 0 0 0 0 3 0 8 0 0 0 0 531 0 47 0 62 162 27 118 70 353 0 122 0 0 497 3 7 7 0 32 0 60 0 0 0 63 0 7 14 0 0 0 0 0 0 29 9 8 0 4 0 11 0 10 268 5 0 0
"A2.16" 0 0 0 10 1 1 0 0 44 0 0 5 0 4 0 4 3 5 4 0 5 4 1 12 5 5 2 0 7 0 5 1 5 0 0 0 2 0 1 1 1 0 5 0 0 0 0 0 2 2 0 0 0 2 1 0 0 0 0 0 0 51 1 0 0 0 431 1 74 0 115 52 69 85 99 255 0 32 0 0 375 5 19 265 0 17 13 190 1 0 0 9 0 6 5 0 52 0 3 0 0 10 75 8 0 63 0 6 0 78 108 48 0 5
"A2.17" 0 0 0 137 0 2 0 10 7 3 1 3 0 7 0 25 0 4 15 5 2 0 0 7 13 1 11 2 3 0 0 0 2 6 0 1 1 25 5 5 2 14 21 3 0 4 0 0 3 3 6 0 3 0 1 2 1 1 6 1 3 157 2 2 0 5 241 1 240 0 61 61 288 34 92 82 12 22 6 69 25 21 23 67 14 122 10 48 4 0 5 9 23 4 1 0 2 0 0 0 15 12 128 17 0 45 0 20 0 69 24 102 0 17
"A2.18" 0 0 0 119 0 50 0 5 14 11 0 27 1 28 1 76 7 188 17 13 31 1 0 10 24 26 16 4 16 0 81 5 2 17 0 1 34 1 5 22 3 12 51 1 0 11 0 3 4 4 1 34 0 4 6 0 1 1 6 0 0 78 1 3 0 5 114 0 396 0 55 26 73 11 143 5 6 43 0 21 12 20 60 179 1 128 17 18 150 0 17 3 1 26 3 0 3 0 4 0 0 10 36 44 0 30 0 52 0 64 68 10 2 42
"A2.19" 0 10 0 95 0 12 0 6 19 3 0 24 2 92 0 40 0 53 23 6 21 0 0 24 10 2 19 17 5 0 58 2 4 51 0 13 15 1 3 8 0 35 19 10 0 7 0 0 9 9 76 23 7 6 5 0 9 12 23 2 18 209 1 0 0 0 41 0 355 0 37 28 32 2 104 8 32 38 4 4 1 29 61 10 1 89 15 17 176 0 35 31 3 16 0 0 1 0 1 0 0 9 38 75 0 12 0 38 0 4 98 4 0 51
"A2.20" 0 6 0 1388 0 149 0 50 172 20 3 35 72 69 6 245 3 149 24 12 302 0 3 18 94 132 123 6 14 1 0 2 21 26 0 130 33 3 50 48 64 7 12 3 0 13 0 2 3 5 6 27 6 9 4 2 22 7 8 3 1 299 3 2 0 2 70 0 288 0 41 3 14 4 90 10 1 10 1 5 0 41 120 0 1 217 84 32 94 0 55 5 8 5 1 0 12 0 0 0 0 5 57 28 0 13 0 17 0 16 51 10 0 420
"A2.21" 0 0 0 4 4 0 8 3 3 0 32 10 11 21 0 15 77 115 29 1 69 2 52 32 10 4 4 3 102 3 1 6 0 6 2 5 18 16 0 5 10 2 2 1 0 4 0 5 8 11 1 2 0 12 7 0 1 0 3 9 0 13 8 2 0 5 8 0 706 0 25 3 18 2 290 4 16 174 0 0 0 5 29 8 1 93 1 31 59 0 2 9 1 28 14 0 17 0 0 0 0 62 14 23 1 6 0 123 0 14 212 5 0 24
"A2.22" 0 0 0 16 0 1 0 7 28 1 11 12 0 24 0 8 0 39 18 0 13 0 19 20 10 1 1 2 0 1 1 4 11 2 0 0 3 61 0 3 1 16 4 2 1 11 0 0 3 5 0 2 4 2 4 1 0 1 12 1 8 70 2 6 0 2 180 2 284 0 14 18 41 40 121 139 24 69 30 5 126 12 10 11 1 73 30 52 6 0 9 23 6 3 8 0 0 0 0 0 0 11 50 8 0 4 0 17 0 9 503 6 0 0
"A2.23" 0 0 0 17 0 0 0 3 334 0 0 34 2 4 0 17 0 2 3 1 0 0 0 7 3 0 0 1 46 0 0 5 188 5 0 4 5 8 1 25 0 7 2 0 0 4 0 1 0 2 2 3 3 3 5 0 0 3 1 4 0 85 2 3 0 1 328 2 123 0 85 51 15 22 213 70 1 71 0 7 122 5 11 3 3 34 52 45 2 0 1 7 0 10 22 0 1 0 1 0 0 46 7 3 0 3 0 23 0 1 664 192 0 140
"A2.24" 0 0 0 39 1 9 0 16 84 5 0 3 0 23 0 15 1 7 14 6 4 0 1 6 14 0 4 0 0 2 41 1 23 5 0 2 3 93 4 13 0 3 16 4 0 3 0 0 4 2 3 3 15 5 8 0 7 2 2 3 0 140 2 3 1 1 185 2 503 0 74 50 13 30 92 58 10 69 1 20 118 2 30 7 0 42 44 85 16 0 8 8 18 17 2 0 15 0 1 0 0 19 50 7 0 12 0 26 0 6 290 34 0 0
"A2.25" 0 0 0 321 1 73 0 33 210 72 0 9 1 68 2 58 1 14 32 97 2 0 0 26 27 1 23 57 7 0 2 3 44 140 0 0 4 49 16 23 0 11 15 7 0 11 0 0 5 12 28 17 38 6 4 0 25 24 8 3 11 425 6 4 1 1 188 0 454 0 35 23 14 24 29 20 1 29 0 59 11 10 50 3 5 83 9 15 6 0 113 6 70 15 0 0 3 0 0 0 0 3 56 23 0 21 0 28 0 6 104 25 2 114
"A2.26" 0 7 0 343 0 7 0 8 51 2 0 16 52 11 1 107 0 80 19 3 32 0 1 21 84 36 84 0 11 0 10 1 3 6 0 0 229 6 12 9 42 8 6 2 0 9 0 0 6 10 5 6 7 2 1 1 7 3 4 2 1 190 11 13 0 2 98 1 384 0 18 11 62 1 67 14 3 36 1 3 7 12 41 3 7 104 2 38 10 0 9 10 0 19 2 0 20 0 0 0 0 12 119 109 0 7 0 52 0 24 63 4 0 110
"A2.28" 0 0 0 43 1 9 0 1 30 6 0 4 0 10 0 4 0 0 13 4 0 0 0 2 0 2 2 3 1 1 0 20 1 8 0 2 4 10 0 2 0 2 0 0 0 3 0 0 3 3 6 1 2 1 0 0 0 0 7 3 0 39 0 3 0 1 156 0 291 0 20 90 30 19 56 325 3 72 0 4 28 5 19 10 7 39 3 12 48 0 34 17 7 23 15 0 1 0 0 0 0 11 7 5 0 2 0 58 0 4 138 10 0 287
"A2.29" 0 0 0 134 0 5 0 4 35 10 0 5 2 24 0 30 0 13 37 9 3 0 2 10 6 10 6 4 1 0 0 18 3 15 0 11 8 4 1 6 0 9 6 1 0 5 0 0 3 8 3 6 30 5 15 0 5 7 12 4 2 209 5 12 0 5 113 0 366 0 42 16 55 19 79 113 6 21 2 9 12 9 58 24 4 68 21 36 6 0 43 23 11 7 0 0 15 0 1 0 0 5 62 23 0 20 0 19 0 80 121 5 0 12
"A2.30" 2 2 1 2228 0 364 0 19 36 47 1 45 4 287 49 193 2 183 7 48 31 5 2 7 37 84 35 10 26 2 49 73 6 46 0 1 15 6 207 53 1 50 69 28 0 4 0 0 6 7 29 208 12 2 3 7 101 28 71 1 14 537 0 4 0 1 44 0 297 0 29 17 17 7 69 16 4 22 0 4 1 9 17 12 5 55 0 11 25 0 76 7 5 3 3 0 2 0 0 0 0 8 36 14 0 12 0 12 0 4 40 3 0 240
"A2.31" 0 0 0 683 2 7 0 8 51 1 0 0 0 28 0 102 2 40 25 2 6 0 1 23 16 12 8 1 2 0 0 3 11 1 0 2 65 2 11 9 1 1 47 1 0 6 0 0 8 11 1 4 0 3 8 1 6 3 0 0 2 252 7 3 0 15 113 1 42 0 58 0 111 26 297 166 6 92 0 7 174 2 7 2 2 67 2 53 0 0 0 12 0 5 6 0 12 0 1 0 0 16 67 1 0 51 0 5 0 156 828 5 0 3
"A2.32" 0 0 0 8 0 1 0 1 4 0 0 0 0 3 0 0 2 0 9 0 2 0 0 6 1 0 1 1 2 0 1 0 5 4 0 0 1 0 0 2 0 0 1 0 0 1 0 0 1 3 1 0 1 0 1 0 1 0 1 0 0 12 1 0 0 1 162 0 328 1 29 21 14 29 175 79 6 55 0 0 192 13 70 4 0 158 0 92 0 0 0 29 0 30 603 0 4 0 0 0 0 5 10 8 0 1 0 42 0 22 51 5 0 38
"A2.33" 0 0 0 437 0 37 0 2 31 0 0 9 0 7 0 81 0 36 9 2 9 1 0 6 34 2 7 1 1 0 0 3 5 0 0 0 50 6 16 10 0 1 7 0 0 4 0 0 5 1 1 0 0 1 2 2 4 0 3 4 1 65 2 1 0 4 332 0 56 0 126 19 205 34 262 154 0 9 1 0 114 29 38 16 23 126 0 154 0 0 1 9 0 0 1 0 186 0 1 0 0 24 93 7 0 14 0 1 0 245 98 2 0 52
"A2.34" 0 0 0 386 0 29 0 2 31 0 0 3 0 5 2 157 0 4 2 0 3 0 0 3 4 11 2 1 3 0 0 0 16 0 0 0 14 1 11 4 0 0 29 0 0 1 0 0 3 0 0 0 0 0 2 2 2 0 20 2 0 72 2 2 0 0 62 0 140 0 31 16 122 184 201 62 0 11 0 15 73 8 97 1 4 59 1 103 3 0 0 11 0 6 5 0 11 0 2 0 0 21 39 0 0 2 0 1 0 655 79 1 0 27
"A2.35" 0 0 0 5 0 0 0 0 8 0 0 0 0 0 0 1 0 0 6 0 0 0 1 13 0 0 1 0 0 2 1 0 2 0 1 0 0 2 1 2 0 1 1 1 0 0 0 0 2 1 0 0 0 6 3 0 0 0 3 4 0 9 1 0 0 5 146 0 82 0 68 39 10 100 92 467 48 32 2 1 332 1 29 5 2 16 5 115 1 0 0 18 3 10 33 0 3 0 1 0 0 26 32 6 0 9 0 14 0 5 88 3 0 3
"A2.36" 0 0 0 6 0 0 1 0 174 0 0 0 0 1 0 0 0 0 27 0 0 0 0 14 0 0 1 0 0 0 0 0 90 0 0 0 0 0 0 2 0 0 1 0 0 12 0 1 3 5 0 0 14 2 3 0 0 0 0 4 0 74 4 3 0 1 316 0 14 0 41 47 14 57 63 411 1 52 0 0 261 0 10 26 0 2 0 164 0 0 0 5 0 3 3 0 26 0 1 0 0 12 32 0 0 4 0 7 0 14 457 0 0 0
"A2.37" 0 0 0 5 1 0 0 0 0 0 0 0 0 3 1 2 2 2 1 0 0 0 1 2 0 10 0 1 0 0 1 0 0 0 0 0 1 12 0 0 0 10 1 12 0 1 0 0 1 2 0 0 2 1 1 0 1 0 1 1 2 8 0 0 0 0 74 1 450 0 8 66 14 7 57 18 6 320 11 0 7 27 23 1 0 75 1 39 6 0 19 24 1 31 98 0 0 0 0 4 0 4 27 1 2 5 0 141 0 6 135 1 0 9
"A2.38" 0 0 0 98 0 3 0 0 13 0 0 0 0 3 0 1 0 1 13 0 1 0 0 11 0 2 0 0 0 0 0 0 3 0 0 0 3 0 2 1 1 3 0 0 0 7 0 0 0 2 0 0 0 1 2 0 1 0 0 0 0 56 0 2 0 1 407 5 87 0 75 17 53 30 75 120 0 46 1 1 69 6 34 3 0 45 5 151 0 0 2 30 0 2 7 0 13 0 2 0 0 10 48 1 0 10 0 26 0 3 956 1 0 0
"A2.39" 0 0 0 188 2 6 0 2 24 0 0 0 0 5 0 12 0 4 44 0 0 0 0 19 2 7 19 0 0 0 10 4 1 0 0 1 3 83 6 1 0 6 1 0 0 6 0 0 12 4 3 2 22 2 4 0 2 1 1 2 0 28 9 2 0 13 211 3 255 0 10 10 25 9 136 88 5 24 0 4 33 10 25 6 0 82 0 80 0 0 1 30 2 3 4 0 8 0 0 0 0 13 85 21 0 2 0 12 0 16 917 5 0 42
"A2.40" 4 0 0 32 0 3 3 4 33 1 8 7 0 23 3 8 16 21 1 6 2 1 11 11 4 6 1 5 2 2 9 11 5 33 0 2 11 9 0 3 0 11 9 8 0 0 0 0 3 6 3 3 20 2 7 7 7 1 12 3 3 138 1 1 0 1 177 0 210 0 25 112 32 10 68 49 4 20 2 16 6 11 20 18 4 86 15 32 4 0 113 18 26 12 5 0 10 0 0 1 0 18 80 6 0 17 0 8 0 27 86 9 0 45
"A3.01" 2 0 0 13 1 0 1 16 54 4 1 6 0 9 1 10 10 5 4 2 2 7 1 15 17 0 0 1 6 0 0 2 12 11 1 49 1 3 0 8 0 0 15 6 0 2 0 0 2 1 6 0 6 1 1 4 1 5 1 1 65 197 0 0 0 0 581 0 95 0 49 28 27 33 24 97 0 36 5 6 84 19 9 15 0 7 68 0 0 7 0 8 6 6 1 0 5 78 0 0 0 20 47 0 18 32 0 8 53 10 266 17 2 0
"A3.02" 0 0 0 2 1 0 0 0 12 8 1 6 0 4 0 6 14 2 0 3 0 4 4 11 0 0 1 0 8 1 1 0 1 5 0 2 2 14 0 1 1 2 3 1 0 0 0 0 6 5 17 0 10 2 5 0 2 1 0 2 5 119 0 1 0 0 533 1 204 0 33 29 67 16 5 36 5 13 1 1 168 12 7 13 2 1 2 3 0 9 0 17 1 4 0 0 5 54 0 0 0 10 73 0 15 16 0 0 32 13 226 69 0 0
"A3.03" 1 0 0 3 9 0 56 0 46 0 1 8 0 3 0 5 468 3 0 0 0 346 2 8 1 0 0 2 3 0 1 0 5 0 6 0 0 2 0 0 0 3 4 3 0 0 0 1 3 7 5 0 22 1 2 0 0 0 0 1 0 76 1 0 0 1 125 2 77 0 21 19 2 5 52 25 1070 10 0 0 23 1 18 5 0 17 0 0 274 3 0 9 2 13 1 0 0 31 0 0 0 11 40 0 6 2 0 14 14 37 262 22 0 0
"A3.04" 0 0 1 4 0 0 1 0 351 0 3 24 0 15 2 2 20 0 3 0 1 13 1 9 8 0 0 0 5 0 0 2 63 3 0 0 2 5 0 2 1 10 13 0 0 1 0 0 3 0 0 0 16 3 2 0 18 1 0 1 3 413 0 0 0 0 474 0 150 1 37 1 36 76 32 90 2 22 2 9 104 5 1 13 15 25 54 2 0 16 0 4 0 4 0 0 22 80 0 0 0 19 27 0 22 31 0 10 211 8 105 6 5 0
"A3.05" 0 1 1 3 0 0 0 0 7 1 3 12 2 6 1 0 13 0 0 0 3 7 5 11 1 0 1 0 5 0 0 0 1 3 0 0 1 2 0 0 0 1 1 0 1 3 0 0 0 2 0 0 0 1 2 1 3 0 0 0 0 29 0 0 0 1 103 0 243 0 105 6 5 4 33 26 4 175 3 0 21 14 75 4 14 19 2 0 3 4 0 28 5 52 24 0 22 15 0 0 0 74 5 0 35 2 0 338 3 7 91 65 4 0
"A3.06" 53 15 297 310 1 27 8 2 636 0 340 1653 112 103 271 116 921 178 1 0 332 1733 413 10 196 11 6 0 1679 157 2 3 85 5 1 121 61 12 22 0 135 4 3 4 0 0 34 0 2 2 0 27 5 2 0 44 3 2 13 4 14 53 1 0 0 0 39 0 112 1 1275 3 194 9 35 5 15 59 1 0 7 14 33 7 0 10 0 0 3 3 0 8 6 14 6 0 0 14 0 0 0 43 13 0 22 4 0 86 1 24 98 25 4 0
"A3.08" 0 0 0 8 1 0 0 1 28 0 0 6 0 5 0 2 7 3 1 1 1 3 0 9 2 0 1 4 6 2 0 1 1 11 0 0 1 4 0 1 0 0 3 0 34 1 1 0 2 3 1 1 1 2 6 0 4 3 0 1 0 58 0 0 0 2 53 1 291 0 89 3 4 2 24 7 4 298 0 0 5 20 38 6 0 7 2 0 2 4 0 11 4 80 17 0 0 10 0 0 0 65 8 0 76 1 0 468 3 2 152 19 12 0
"A3.09" 0 0 1 2 2 1 2 1 51 5 2 16 0 13 1 1 11 1 1 2 5 16 11 10 2 0 0 6 9 5 1 4 7 33 4 1 1 16 0 2 1 5 3 12 3 0 0 1 1 2 1 6 5 0 1 1 6 3 7 1 10 124 0 0 0 0 186 0 541 0 52 8 22 18 20 39 3 75 2 1 23 11 1 2 0 8 8 0 3 17 0 7 12 26 0 0 1 7 0 0 0 26 4 0 99 2 0 55 25 1 66 18 43 0
"A3.10" 1 1 1 9 6 0 1 1 40 1 2 17 1 39 2 2 50 6 1 2 6 17 7 14 1 1 0 13 7 0 0 4 2 55 2 1 5 0 1 1 1 10 7 14 0 1 0 0 1 4 3 3 4 0 5 2 12 24 5 2 8 70 0 0 0 0 90 0 292 0 36 4 11 15 30 17 0 31 0 0 4 8 10 1 0 2 6 0 6 14 0 2 19 8 0 0 0 4 0 0 0 26 6 0 57 5 0 15 7 4 32 6 208 0
"A3.11" 1 0 0 1 4 0 0 0 4 0 1 1 1 3 1 1 7 0 1 0 0 0 32 12 0 0 2 0 0 32 0 0 2 0 40 0 0 1 0 1 0 0 2 0 0 0 8 0 1 7 1 0 2 0 1 0 2 1 0 1 4 10 0 0 5 1 139 0 115 2 69 24 3 18 16 95 13 23 0 0 102 12 5 0 0 17 0 2 0 28 0 23 0 2 4 0 4 49 0 0 0 29 25 0 1 5 0 1 1 3 906 1 0 0
"A3.12" 0 0 0 0 0 0 2 0 2 0 1 1 0 0 0 1 4 0 7 0 0 0 0 10 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 3 0 0 2 2 0 0 1 3 2 0 2 0 0 1 0 5 3 0 0 0 538 0 353 0 49 67 36 56 16 200 7 122 8 0 50 18 13 3 0 12 1 0 0 46 0 69 0 21 65 0 13 47 0 1 0 23 21 0 19 3 0 32 0 0 66 0 0 0
"A3.13" 0 0 0 0 0 0 0 0 6 0 0 0 0 8 0 2 0 11 1 0 0 1 0 7 8 2 0 0 0 0 0 0 1 1 2 0 1 0 0 0 0 7 4 5 0 0 0 0 1 3 0 0 1 2 1 0 1 0 1 1 8 31 0 0 0 0 224 0 364 0 46 105 18 13 84 79 0 290 0 0 124 67 5 26 0 26 2 0 0 19 0 19 0 35 9 0 8 42 0 0 0 34 21 0 15 2 0 57 1 3 92 25 2 0
"A3.14" 0 0 0 2 0 0 0 0 7 0 0 0 0 1 0 0 0 2 0 0 0 1 0 5 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 2 1 0 0 0 0 3 3 1 0 0 1 0 11 0 0 2 0 225 4 36 0 109 2 37 17 40 55 0 22 0 1 134 13 28 7 0 10 0 0 0 2 0 20 0 0 14 0 6 32 0 0 0 92 75 0 6 1 0 3 9 0 981 1 0 0
"A3.15" 0 0 0 32 3 0 0 0 109 0 0 0 0 1 0 5 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 13 1 0 1 1 1 0 1 0 1 25 1 0 0 0 0 1 4 1 0 25 2 0 6 0 0 0 0 0 41 1 0 0 0 344 0 19 0 28 0 32 118 16 43 4 18 5 2 351 21 3 27 5 11 2 2 1 19 0 46 1 9 0 0 4 115 0 0 0 9 75 0 1 55 0 2 54 1 598 9 6 0
"A3.16" 0 0 0 6 1 1 1 0 863 3 0 27 0 26 0 16 0 5 1 3 0 1 3 2 11 0 2 7 1 0 0 0 169 21 0 1 1 76 0 1 0 44 99 58 0 0 0 0 3 2 2 9 9 1 3 0 8 3 7 1 8 217 0 0 0 0 99 1 412 0 112 0 46 57 2027 6 2 46 0 0 12 3 13 12 15 8 6 0 1 15 0 9 3 22 11 0 0 17 0 0 0 39 2 0 50 4 0 57 14 7 51 7 41 0
"A3.17" 0 1 0 5 1 0 0 1 34 0 0 0 0 3 0 3 1 2 1 1 4 0 3 8 2 0 2 5 0 1 0 5 9 8 0 0 1 1 0 1 0 9 8 3 0 1 2 0 2 3 0 1 24 0 0 0 2 2 1 0 1 101 1 0 1 0 225 0 676 2 34 0 6 15 14 39 3 17 2 1 53 2 9 5 2 3 6 2 0 28 0 8 0 6 1 0 0 37 0 0 1 17 22 0 106 9 0 13 17 9 136 30 3 0
"A3.18" 0 0 0 0 0 0 0 1 9 0 0 5 0 2 0 4 1 0 3 0 0 0 0 7 3 0 1 3 0 0 4 8 2 17 0 1 0 22 0 5 0 9 13 10 0 0 0 0 2 4 0 0 8 1 1 0 4 2 3 4 7 53 0 1 0 0 33 0 698 1 29 2 6 2 14 6 1 90 0 2 8 8 2 8 0 9 3 0 0 41 0 18 2 7 22 0 0 16 0 0 0 25 1 0 85 0 0 26 1 0 126 21 4 1
"A3.19" 0 0 0 15 0 1 0 2 167 0 0 5 0 62 0 2 0 2 1 1 0 0 0 4 1 0 1 25 2 0 7 7 36 94 0 1 2 3 0 2 1 41 5 42 0 0 1 0 0 6 24 27 9 0 3 2 14 65 12 0 16 213 0 0 0 0 74 0 296 0 25 3 10 10 45 6 5 10 0 0 6 5 2 2 0 2 17 0 2 27 0 18 17 4 0 0 0 16 0 0 1 17 6 0 67 13 0 6 21 1 74 9 153 0
"A3.20" 0 0 0 5 1 0 0 1 4 0 0 5 0 3 0 0 0 0 0 1 0 0 0 1 1 0 3 1 0 0 0 2 2 8 0 0 1 1 0 3 0 18 4 5 0 0 0 0 0 0 1 0 6 0 0 0 5 1 0 1 1 56 0 0 0 0 129 1 454 0 37 0 65 19 35 27 4 28 2 0 21 14 5 15 0 6 11 0 10 14 0 18 7 9 1 0 11 26 0 0 0 45 24 0 123 7 0 30 37 2 139 16 31 0
"A3.21" 0 0 0 0 0 0 0 3 38 2 0 0 0 6 0 6 1 0 0 0 0 0 0 6 4 0 0 14 0 0 0 9 3 17 0 3 1 2 0 1 0 3 17 2 0 0 0 0 1 3 2 0 3 1 1 0 11 2 2 2 1 51 0 0 0 0 74 1 238 749 30 32 4 3 15 15 1 70 7 1 3 30 3 4 0 8 5 0 2 8 0 3 11 20 0 0 0 10 0 0 0 12 15 0 70 4 0 108 44 6 120 15 12 0
"A3.22" 0 0 0 3 0 2 0 4 20 3 0 1 0 1 0 0 1 1 2 3 1 0 0 12 1 0 1 5 0 0 0 11 1 22 0 3 0 18 0 0 0 1 6 2 0 0 0 0 2 4 3 0 0 0 1 0 12 6 3 1 2 149 0 0 0 0 301 0 325 9 30 133 9 36 45 69 3 31 16 0 45 41 13 5 0 11 12 0 7 15 0 19 36 21 0 0 1 25 0 0 0 30 35 0 94 3 0 42 18 19 56 10 22 0
"A3.23" 0 0 0 8 0 0 0 1 6 1 0 4 0 5 0 1 2 0 0 0 1 3 1 3 4 0 1 1 8 2 1 2 0 5 0 0 0 1 1 1 0 3 1 0 0 1 0 0 1 2 1 0 0 2 1 0 4 0 1 2 0 16 0 0 0 0 23 1 1203 7 66 0 0 3 53 1 7 223 1 0 5 20 15 6 3 7 0 0 5 0 0 13 0 85 4 0 4 12 0 0 0 49 5 0 59 2 0 449 1 9 192 12 3 6
"A3.24" 0 0 0 0 0 0 0 0 6 0 0 0 0 1 0 0 0 0 3 1 0 1 0 2 0 0 1 2 1 0 1 1 1 5 0 0 0 0 0 0 0 1 3 2 0 1 0 0 1 2 0 0 0 1 2 0 3 1 0 1 0 20 0 0 0 0 79 1 273 0 92 18 1 18 43 31 24 231 22 1 13 64 15 2 0 23 0 0 2 5 0 30 3 69 0 0 0 10 0 0 0 67 5 0 60 0 0 223 9 7 94 9 6 0
"A3.25" 0 0 0 4 0 1 0 1 17 2 0 1 0 13 0 7 0 1 3 1 1 1 0 11 0 1 2 10 1 0 4 27 2 51 0 2 0 1 0 1 0 15 4 4 0 0 0 0 0 1 13 1 0 2 4 0 16 14 4 0 4 225 0 0 0 0 199 0 222 0 58 4 30 98 13 26 8 32 3 1 10 9 4 6 0 8 9 0 4 44 0 11 14 11 0 0 1 18 0 0 0 15 12 0 87 7 0 29 66 1 52 20 46 0
"A3.26" 0 0 0 3 0 0 0 0 103 1 0 6 0 10 0 0 1 2 3 2 0 0 0 8 1 0 0 8 1 0 0 6 10 35 0 1 1 0 0 0 0 2 0 5 0 0 0 0 3 2 2 4 0 2 1 0 5 21 0 1 3 68 0 0 0 0 122 0 180 1 72 0 25 20 49 40 16 44 6 1 7 49 16 8 0 9 7 0 1 5 0 28 4 11 0 0 0 19 0 0 0 62 6 0 85 1 0 86 8 17 62 4 30 0
"A3.27" 0 0 0 4 0 0 0 1 21 0 1 1 0 0 0 0 1 3 5 0 0 0 0 5 1 1 0 2 0 0 0 0 3 6 0 0 0 0 0 1 0 1 1 1 0 2 0 0 1 1 0 0 0 0 3 1 0 2 2 3 0 18 0 0 0 0 5 0 30 1447 9 0 2 1 6 2 2 65 9 0 3 8 2 14 1 3 0 0 5 0 0 13 2 14 2 0 0 27 0 0 0 5 9 0 6 1 0 80 1 7 145 12 5 0
"A3.28" 0 0 0 9 0 0 0 4 470 19 0 7 0 31 0 14 2 8 3 19 0 0 2 12 5 0 2 18 2 0 1 31 41 67 0 9 1 20 0 4 0 5 25 38 0 0 0 0 4 2 19 3 4 0 6 0 34 70 2 4 9 383 0 1 0 0 204 0 292 0 58 17 35 82 12 49 5 34 10 7 21 20 7 35 12 6 8 0 9 16 0 9 13 18 0 0 13 32 0 0 2 20 55 0 77 4 0 25 94 10 45 25 87 0
"A3.29" 0 2 0 26 2 1 1 5 183 12 0 15 1 91 0 8 17 0 2 11 2 0 4 11 11 2 2 24 1 4 59 20 26 84 0 6 1 31 0 6 1 10 7 14 22 4 1 0 4 12 4 11 2 4 3 0 50 64 8 4 18 334 2 1 0 0 62 0 585 1 11 68 11 7 16 41 2 107 0 0 40 8 3 6 0 10 6 0 20 17 0 13 16 40 0 0 3 7 0 1 0 31 19 0 89 11 0 83 30 1 25 6 93 0
